date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-08-19,6770,4840074,106646552,21.9,22.15,21.9,22.0,-0.05,2714
2024-08-20,6770,6168646,136289053,22.25,22.35,21.95,22.0,0.0,4300
2024-08-21,6770,8305472,181372614,22.0,22.05,21.7,21.75,-0.25,5615
2024-08-22,6770,5778580,126409944,21.85,22.1,21.7,21.85,0.1,2740
2024-08-23,6770,10203327,218520920,21.65,21.7,21.25,21.5,-0.35,5046
2024-08-26,6770,9462520,207758304,21.6,22.2,21.6,21.85,0.35,3952
2024-08-27,6770,7616736,164852035,21.9,21.9,21.5,21.7,-0.15,4895
2024-08-28,6770,6537929,140884460,21.6,21.7,21.45,21.55,-0.15,3382
2024-08-29,6770,6879640,147173688,21.35,21.5,21.25,21.5,-0.05,3264
2024-08-30,6770,7924740,171046186,21.6,21.75,21.45,21.6,0.1,3122
2024-09-02,6770,10730730,228909714,21.7,21.7,21.15,21.15,-0.45,5005
2024-09-03,6770,12671659,265739282,21.2,21.4,20.7,20.7,-0.45,6117
2024-09-04,6770,25292205,498116457,19.75,20.05,19.1,19.8,-0.9,11467
2024-09-05,6770,21891981,452279821,20.6,21.1,20.3,20.35,0.55,7722
2024-09-06,6770,15459472,315137038,20.65,20.95,20.2,20.3,-0.05,6100
2024-09-09,6770,13967633,276173410,19.6,20.1,19.55,20.0,-0.3,5944
2024-09-10,6770,9759196,193679051,20.1,20.15,19.6,19.65,-0.35,4618
2024-09-11,6770,9332992,187266277,19.8,20.2,19.8,20.0,0.35,3679
2024-09-12,6770,9305166,190385750,20.7,20.7,20.3,20.35,0.35,4119
2024-09-13,6770,5095779,104034658,20.35,20.55,20.3,20.5,0.15,2692
2024-09-16,6770,7348546,151991775,20.6,20.8,20.55,20.8,0.3,3879
2024-09-18,6770,8155648,168785561,20.95,20.95,20.45,20.5,-0.3,4824
2024-09-19,6770,7917782,162612692,20.45,20.75,20.3,20.6,0.1,3944
2024-09-20,6770,11042283,229579075,20.85,21.05,20.7,20.7,0.1,3706
2024-09-23,6770,6727302,140060405,20.9,20.95,20.7,20.8,0.1,2973
2024-09-24,6770,5557674,115259057,20.85,20.85,20.6,20.85,0.05,2992
2024-09-25,6770,16338994,349181320,21.05,21.6,21.0,21.35,0.5,7328
2024-09-26,6770,8345635,178131085,21.55,21.65,21.1,21.15,-0.2,4460
2024-09-27,6770,29409144,646435602,21.7,22.2,21.65,22.0,0.85,10151
2024-09-30,6770,12624305,271519970,21.8,21.8,21.3,21.6,-0.4,6124
2024-10-01,6770,16240731,341656994,21.5,21.5,20.85,20.9,-0.7,8802
2024-10-04,6770,13892942,285209436,20.8,20.85,20.3,20.6,-0.3,8187
2024-10-07,6770,8749820,180371199,20.65,20.8,20.45,20.7,0.1,5063
2024-10-08,6770,10801654,220599768,20.65,20.7,20.25,20.55,-0.15,6461
2024-10-09,6770,8511957,172481279,20.6,20.7,20.1,20.1,-0.45,4675
2024-10-11,6770,5280022,106561719,20.3,20.3,20.1,20.15,0.05,2590
2024-10-14,6770,5498881,110541656,20.15,20.2,20.0,20.15,0.0,2601
2024-10-15,6770,6798807,137679734,20.15,20.35,20.15,20.25,0.1,4071
2024-10-16,6770,14120120,280333592,20.05,20.05,19.75,19.85,-0.4,9330
2024-10-17,6770,10867930,219723173,19.9,20.4,19.9,20.3,0.45,4585
2024-10-18,6770,11260228,225506483,20.4,20.4,19.9,19.9,-0.4,6472
2024-10-21,6770,8080809,161541080,19.95,20.1,19.85,20.05,0.15,4043
2024-10-22,6770,7223552,144900007,20.05,20.2,19.85,20.05,0.0,3442
2024-10-23,6770,25623247,518737257,20.35,20.75,20.0,20.0,-0.05,12992
2024-10-24,6770,15042861,297976319,20.05,20.1,19.7,19.7,-0.3,8424
2024-10-25,6770,21715657,420641070,19.7,19.8,19.2,19.3,-0.4,8797
2024-10-28,6770,31050359,588895131,19.25,19.35,18.75,19.0,-0.3,13634
2024-10-29,6770,16182857,301175892,18.9,18.95,18.5,18.55,-0.45,8079
2024-10-30,6770,24767835,450536673,18.65,18.75,18.0,18.0,-0.55,14117
2024-11-01,6770,20800560,372215453,17.55,18.4,17.35,18.4,0.4,8731
2024-11-04,6770,15412039,283954003,18.4,18.8,18.2,18.35,-0.05,6042
2024-11-05,6770,10102508,183670727,18.35,18.45,18.05,18.05,-0.3,4819
2024-11-06,6770,11718786,213716953,18.15,18.5,18.0,18.3,0.25,4777
2024-11-07,6770,14839953,279679218,18.25,19.2,18.15,19.0,0.7,6157
2024-11-08,6770,10300059,193875424,19.1,19.15,18.65,18.7,-0.3,5578
2024-11-11,6770,11850798,216854395,18.7,18.7,18.15,18.2,-0.5,4420
2024-11-12,6770,16076333,287508796,18.0,18.2,17.8,17.8,-0.4,6315
2024-11-13,6770,10488458,186811800,17.8,18.05,17.6,17.8,0.0,4178
2024-11-14,6770,13661523,240023020,17.8,17.9,17.45,17.45,-0.35,5290
2024-11-15,6770,7475316,133425856,17.5,18.05,17.5,17.9,0.45,3820
2024-11-18,6770,8291634,149803522,18.0,18.2,17.9,18.15,0.25,4157
2024-11-19,6770,7402084,133941957,18.15,18.3,17.9,18.05,-0.1,3496
2024-11-20,6770,8612861,153705390,18.05,18.15,17.7,17.7,-0.35,5192
2024-11-21,6770,10571845,187070775,17.7,17.85,17.6,17.75,0.05,5101
2024-11-22,6770,16593126,293637410,17.7,17.85,17.6,17.6,-0.15,6197
2024-11-25,6770,16944810,299086738,17.75,17.9,17.45,17.6,0.0,4644
2024-11-26,6770,16227494,289474987,17.65,18.1,17.45,17.95,0.35,5808
2024-11-27,6770,22571491,393318732,17.95,18.0,17.15,17.15,-0.8,19061
2024-11-28,6770,26813425,447201804,17.2,17.3,16.4,16.6,-0.55,16100
2024-11-29,6770,14839903,249812043,16.7,17.0,16.65,16.95,0.35,5440
2024-12-02,6770,12255305,206797436,17.1,17.2,16.65,16.65,-0.3,5407
2024-12-03,6770,11440492,192849628,16.85,17.05,16.7,16.85,0.2,6162
2024-12-04,6770,9026677,153296480,16.95,17.1,16.8,17.1,0.25,3989
2024-12-05,6770,8899754,149785725,17.05,17.1,16.7,16.7,-0.4,4684
2024-12-06,6770,9555446,161191315,16.75,17.1,16.65,16.8,0.1,4014
2024-12-09,6770,10825445,181022722,16.85,17.0,16.5,16.65,-0.15,4255
2024-12-10,6770,8607051,145189798,16.7,17.2,16.65,16.7,0.05,3469
2024-12-11,6770,34456127,554120785,16.7,16.7,15.75,15.75,-0.95,14061
2024-12-12,6770,20615045,325723753,15.9,16.35,15.5,15.55,-0.2,8746
2024-12-13,6770,33812395,512667900,15.6,15.6,15.0,15.05,-0.5,11193
2024-12-16,6770,23585344,357413627,15.25,15.55,14.95,15.05,0.0,9280
2024-12-17,6770,16756681,254316275,15.2,15.45,15.05,15.1,0.05,6330
2024-12-18,6770,24594071,381756611,15.15,15.9,15.0,15.65,0.55,7388
2024-12-19,6770,24061128,378346725,15.4,16.2,15.3,15.75,0.1,10060
2024-12-20,6770,17981173,276812713,15.6,15.75,15.3,15.3,-0.45,6365
2024-12-23,6770,20472639,323051179,15.5,16.0,15.5,15.9,0.6,6939
2024-12-24,6770,46016831,774765713,16.3,17.3,16.25,16.75,0.85,18026
2024-12-25,6770,22309051,373910950,17.0,17.15,16.45,16.6,-0.15,9469
2024-12-26,6770,9937206,164777715,16.7,16.8,16.45,16.5,-0.1,4196
2024-12-27,6770,13411211,219576804,16.55,16.55,16.1,16.55,0.05,4982
2024-12-30,6770,10082830,163329971,16.45,16.45,16.0,16.0,-0.55,4040
2024-12-31,6770,10495050,165847211,15.9,16.0,15.65,15.9,-0.1,4050
2025-01-02,6770,10265203,162754556,15.85,16.1,15.65,15.7,-0.2,4052
2025-01-03,6770,9856123,156131453,15.8,16.2,15.6,15.6,-0.1,3834
2025-01-06,6770,13013564,206830932,15.8,16.1,15.65,15.85,0.25,4641
2025-01-07,6770,20483942,317810360,16.0,16.2,15.15,15.2,-0.65,7365
2025-01-08,6770,8427400,127689669,15.2,15.3,15.05,15.15,-0.05,3521
2025-01-09,6770,28827485,421627720,15.1,15.15,14.25,14.3,-0.85,10412
2025-01-10,6770,10512371,150655418,14.3,14.6,14.2,14.2,-0.1,4051
2025-01-13,6770,25797589,353925706,14.1,14.15,13.5,13.65,-0.55,7853
2025-01-14,6770,13672619,191757272,13.85,14.2,13.8,14.1,0.45,4425
2025-01-15,6770,9148164,129846448,14.1,14.4,13.9,14.3,0.2,4043
